description,incident_type,severity,people_affected,rainfall_mm,nearby_reports,risk_zone,risk_score,incident_type_encoded,severity_encoded,risk_zone_encoded
a rapidly approaching cyclone has caused widespread property damage as the storm continues to intensify.,Cyclone,Medium,6,170,6,Medium,61,0,2,2
a major building fire is spreading through a residential area while smoke continues to spread.,Urban Fire,Critical,17,55,12,High,88,8,0,0
a severe heatwave is affecting outdoor workers creating a serious public safety concern.,Heatwave,Medium,3,5,5,Medium,50,4,2,2
a fire inside a crowded neighborhood has destroyed residential property and firefighters require immediate assistance.,Urban Fire,Critical,25,19,15,High,97,8,0,0
severe lightning activity has affected people outdoors creating a serious safety risk.,Lightning,High,23,53,5,Medium,78,6,1,2
a strong seismic event has trapped people inside buildings and emergency response operations are underway.,Earthquake,High,4,80,7,High,67,1,1,0
violent storm activity has forced families to leave their homes with rescue teams being deployed.,Cyclone,High,0,178,17,High,75,0,1,0
rising river water has affected the village market and emergency evacuation is required.,Flood,High,8,37,8,Medium,76,2,1,2
a powerful earthquake has damaged roads and bridges creating a serious threat to residents.,Earthquake,Medium,17,62,5,Medium,64,1,2,2
severe lightning activity has struck an open area creating a serious safety risk.,Lightning,Medium,19,75,16,Low,60,6,2,1
a large market fire has damaged several shops and trapped residents need rescue.,Urban Fire,Critical,25,76,16,High,93,8,0,0
extreme heat is causing heat exhaustion and vulnerable residents need support.,Heatwave,Medium,26,1,3,Low,56,4,2,1
a large hillside collapse has covered the road with debris and rescue teams are required.,Landslide,Medium,10,184,5,Low,61,5,2,1
a strong seismic event has left multiple buildings unsafe while aftershocks remain possible.,Earthquake,Medium,17,19,5,Low,45,1,2,1
a rapidly approaching cyclone has damaged coastal buildings and emergency evacuation is required.,Cyclone,Critical,8,179,20,High,94,0,0,0
multiple accident victims has suffered serious injuries and an ambulance is needed immediately.,Medical Emergency,Medium,0,5,7,Low,64,7,2,1
a rapidly approaching cyclone has damaged coastal buildings with rescue teams being deployed.,Cyclone,Medium,2,182,14,Low,64,0,2,1
a commercial building fire has filled buildings with heavy smoke and emergency evacuation is required.,Urban Fire,High,8,71,18,Medium,66,8,1,2
a major building fire has filled buildings with heavy smoke creating a serious danger to nearby people.,Urban Fire,High,5,23,0,High,69,8,1,0
a sudden mountain slope collapse has isolated a village and rescue teams are required.,Landslide,Critical,25,114,13,High,99,5,0,0
flood water has damaged roads and buildings with several people unable to leave.,Flood,Critical,15,24,17,High,85,2,0,0
repeated lightning activity has caused serious injuries while severe weather continues.,Lightning,Critical,23,0,1,High,91,6,0,0
a residential fire has trapped people inside a building creating a serious danger to nearby people.,Urban Fire,Medium,30,32,17,Low,61,8,2,1
falling rocks and soil has damaged local infrastructure while residents remain stranded.,Landslide,Medium,18,114,14,Medium,60,5,2,2
a commercial building fire is spreading between nearby buildings as the fire continues to grow.,Urban Fire,High,10,37,8,Medium,84,8,1,2
a large fire in dry forest land is becoming difficult to control and firefighters require additional support.,Forest Fire,High,20,64,13,Medium,78,3,1,2
severe lightning activity has damaged electrical infrastructure with medical teams being requested.,Lightning,Medium,9,38,7,Medium,38,6,2,2
extreme daytime temperatures is causing people to collapse as dangerous heat continues.,Heatwave,High,28,24,10,High,81,4,1,0
a major building fire has destroyed residential property while smoke continues to spread.,Urban Fire,Medium,24,22,14,Low,38,8,2,1
a rapidly spreading wildfire is producing heavy smoke and evacuation may become necessary.,Forest Fire,High,19,77,1,High,74,3,1,0
a powerful earthquake has collapsed several buildings with people potentially trapped under debris.,Earthquake,High,27,48,12,High,67,1,1,0
heavy rainfall has submerged low lying areas and rescue teams are needed.,Flood,Critical,19,156,0,High,99,2,0,0
a person with a critical injury needs critical medical attention creating a critical situation.,Medical Emergency,Medium,19,34,19,Medium,53,7,2,2
extreme daytime temperatures is affecting outdoor workers with residents advised to seek shelter.,Heatwave,Medium,1,80,19,Low,61,4,2,1
overflowing water has trapped residents inside their homes and residents are requesting immediate assistance.,Flood,Critical,22,93,7,High,89,2,0,0
prolonged hot weather is causing dehydration among residents while temperatures remain extremely high.,Heatwave,High,8,69,9,Medium,65,4,1,2
an unconscious patient needs immediate first response while the patient's condition remains serious.,Medical Emergency,Medium,20,47,5,Low,62,7,2,1
a large fire in dry forest land is moving toward populated regions as strong winds continue to push the flames.,Forest Fire,Critical,26,26,1,High,94,3,0,0
